date,price
5/11/2009,22.24
6/11/2009,23.32
9/11/2009,22.19
10/11/2009,21.1
11/11/2009,20.59
12/11/2009,19.56
13/11/2009,20.07
16/11/2009,20.95
17/11/2009,
18/11/2009,20.69
19/11/2009,20.59
20/11/2009,19.92
23/11/2009,19.82
24/11/2009,19.41
25/11/2009,18.48
26/11/2009,17.6
27/11/2009,17.6
30/11/2009,17.96
1/12/2009,18.22
2/12/2009,17.5
3/12/2009,16.78
4/12/2009,17.6
7/12/2009,18.38
8/12/2009,18.02
9/12/2009,17.96
10/12/2009,17.91
11/12/2009,17.04
14/12/2009,17.86
15/12/2009,18.69
16/12/2009,18.69
17/12/2009,18.38
18/12/2009,18.79
21/12/2009,18.53
22/12/2009,18.07
23/12/2009,17.66
24/12/2009,17.5
25/12/2009,18.12
28/12/2009,18.27
29/12/2009,17.96
30/12/2009,17.96
31/12/2009,17.6
4/1/2010,18.48
5/1/2010,19.35
6/1/2010,20.07
7/1/2010,19.56
8/1/2010,18.84
11/1/2010,18.17
12/1/2010,17.3
13/01/2010,17.5
14/01/2010,17.96
15/01/2010,18.02
18/01/2010,17.96
19/01/2010,18.02
20/01/2010,18.02
21/01/2010,18.02
22/01/2010,18.07
25/01/2010,18.02
26/01/2010,18.07
27/01/2010,18.02
28/01/2010,18.89
29/01/2010,18.94
1/2/2010,18.99
2/2/2010,18.94
3/2/2010,18.99
4/2/2010,18.99
5/2/2010,18.89
8/2/2010,18.89
9/2/2010,18.89
10/2/2010,18.48
11/2/2010,18.53
12/2/2010,19.2
22/02/2010,19.71
23/02/2010,19.97
24/02/2010,19.97
25/02/2010,19.97
26/02/2010,20.95
1/3/2010,21.98
2/3/2010,22.75
3/3/2010,22.55
4/3/2010,22.13
5/3/2010,21.21
8/3/2010,21.1
9/3/2010,20.9
10/3/2010,20.85
11/3/2010,21
12/3/2010,21.41
15/03/2010,21.21
16/03/2010,20.18
17/03/2010,19.56
18/03/2010,20.44
19/03/2010,20.59
22/03/2010,19.56
23/03/2010,19.61
24/03/2010,20.02
25/03/2010,19.3
26/03/2010,19.25
29/03/2010,19.46
30/03/2010,19.15
31/03/2010,18.89
1/4/2010,19.05
2/4/2010,19.71
5/4/2010,19.71
6/4/2010,19.77
7/4/2010,19.56
8/4/2010,19.46
9/4/2010,19.46
12/4/2010,20.38
13/04/2010,21.36
14/04/2010,20.59
15/04/2010,20.59
16/04/2010,20.59
19/04/2010,19.66
20/04/2010,19.82
21/04/2010,20.8
22/04/2010,20.07
26/04/2010,20.13
27/04/2010,20.28
28/04/2010,20.28
29/04/2010,21.26
4/5/2010,22.29
5/5/2010,23.37
6/5/2010,24.19
7/5/2010,23.73
10/5/2010,23.37
11/5/2010,22.39
12/5/2010,21.31
13/05/2010,20.59
14/05/2010,21.62
17/05/2010,22.7
18/05/2010,23.83
19/05/2010,25.02
20/05/2010,25.74
21/05/2010,25.63
24/05/2010,24.4
25/05/2010,24.45
26/05/2010,24.71
27/05/2010,24.76
28/05/2010,25.99
31/05/2010,27.02
1/6/2010,27.02
2/6/2010,28.05
3/6/2010,28.05
4/6/2010,27.28
7/6/2010,25.99
8/6/2010,25.99
9/6/2010,25.48
10/6/2010,25.48
11/6/2010,25.02
14/06/2010,26.25
15/06/2010,26.25
16/06/2010,26.25
17/06/2010,26.51
18/06/2010,27.02
21/06/2010,27.02
22/06/2010,27.02
23/06/2010,27.02
24/06/2010,26.25
25/06/2010,26.25
28/06/2010,25.74
29/06/2010,26.25
30/06/2010,26.25
1/7/2010,26.25
2/7/2010,26.25
5/7/2010,25.99
6/7/2010,26.25
7/7/2010,26.25
8/7/2010,26.77
9/7/2010,26.77
12/7/2010,26.77
13/07/2010,25.99
14/07/2010,26.25
15/07/2010,26.51
16/07/2010,26.51
19/07/2010,26.51
20/07/2010,26.51
21/07/2010,27.02
22/07/2010,27.02
23/07/2010,25.99
26/07/2010,25.74
27/07/2010,25.99
28/07/2010,25.74
29/07/2010,26.25
30/07/2010,26.77
2/8/2010,27.02
3/8/2010,27.02
4/8/2010,27.02
5/8/2010,26.77
6/8/2010,26.77
9/8/2010,26.51
10/8/2010,26.25
11/8/2010,25.99
12/8/2010,24.81
13/08/2010,25.63
16/08/2010,26.25
17/08/2010,26.51
18/08/2010,26.25
19/08/2010,25.99
20/08/2010,25.02
23/08/2010,25.02
24/08/2010,25.22
25/08/2010,24.19
26/08/2010,23.68
27/08/2010,23.16
30/08/2010,23.16
31/08/2010,23.16
1/9/2010,23.94
6/9/2010,24.71
7/9/2010,24.71
8/9/2010,25.22
9/9/2010,25.22
10/9/2010,25.22
13/09/2010,25.22
14/09/2010,25.43
15/09/2010,25.43
16/09/2010,25.43
17/09/2010,25.48
20/09/2010,25.02
21/09/2010,25.48
22/09/2010,25.48
23/09/2010,25.43
24/09/2010,25.43
27/09/2010,25.43
28/09/2010,25.69
29/09/2010,25.48
30/09/2010,25.48
1/10/2010,26.25
4/10/2010,25.99
5/10/2010,25.99
6/10/2010,26.51
7/10/2010,27.02
8/10/2010,27.8
11/10/2010,28.05
12/10/2010,27.8
13/10/2010,28.05
14/10/2010,27.54
15/10/2010,27.28
18/10/2010,28.57
19/10/2010,28.83
20/10/2010,28.83
21/10/2010,28.83
22/10/2010,28.31
25/10/2010,29.08
26/10/2010,29.08
27/10/2010,28.31
28/10/2010,28.83
29/10/2010,29.34
1/11/2010,29.34
2/11/2010,29.08
3/11/2010,29.08
4/11/2010,30.37
5/11/2010,31.14
8/11/2010,32.69
9/11/2010,32.43
10/11/2010,32.43
11/11/2010,31.4
12/11/2010,32.43
15/11/2010,32.69
16/11/2010,32.69
17/11/2010,32.69
18/11/2010,32.69
19/11/2010,31.4
22/11/2010,31.91
23/11/2010,31.4
24/11/2010,31.91
25/11/2010,33.46
26/11/2010,34.49
29/11/2010,34.23
30/11/2010,33.97
1/12/2010,33.97
2/12/2010,33.97
3/12/2010,32.69
6/12/2010,31.4
7/12/2010,31.4
8/12/2010,31.4
9/12/2010,31.66
10/12/2010,31.91
13/12/2010,32.94
14/12/2010,32.94
15/12/2010,33.46
16/12/2010,32.43
17/12/2010,32.94
20/12/2010,32.94
21/12/2010,33.97
22/12/2010,35.52
23/12/2010,34.49
24/12/2010,35
27/12/2010,33.97
28/12/2010,35.26
29/12/2010,36.55
30/12/2010,37.58
31/12/2010,38.61
4/1/2011,40.15
5/1/2011,39.63
6/1/2011,39.63
7/1/2011,39.63
10/1/2011,38.61
11/1/2011,39.12
12/1/2011,38.61
13/01/2011,38.09
14/01/2011,37.83
17/01/2011,39.63
18/01/2011,41.44
19/01/2011,43.5
20/01/2011,45.55
21/01/2011,47.61
24/01/2011,45.3
25/01/2011,43.5
26/01/2011,44.78
27/01/2011,43.75
28/01/2011,44.27
8/2/2011,44.27
9/2/2011,46.07
10/2/2011,45.3
11/2/2011,45.55
14/02/2011,44.52
15/02/2011,44.52
16/02/2011,44.78
17/02/2011,45.81
18/02/2011,45.81
21/02/2011,44.78
22/02/2011,42.72
23/02/2011,41.18
24/02/2011,39.12
25/02/2011,40.92
28/02/2011,42.72
1/3/2011,44.01
2/3/2011,42.21
3/3/2011,41.69
4/3/2011,43.75
7/3/2011,45.81
8/3/2011,47.36
9/3/2011,46.58
10/3/2011,47.36
11/3/2011,47.87
14/03/2011,45.55
15/03/2011,43.5
16/03/2011,43.5
17/03/2011,41.44
18/03/2011,40.15
21/03/2011,41.95
22/03/2011,44.01
23/03/2011,42.98
24/03/2011,41.18
25/03/2011,40.66
28/03/2011,40.66
29/03/2011,40.66
30/03/2011,40.92
31/03/2011,42.21
1/4/2011,42.21
4/4/2011,41.18
5/4/2011,41.18
6/4/2011,41.95
7/4/2011,41.69
8/4/2011,42.72
13/04/2011,42.72
14/04/2011,44.78
15/04/2011,46.84
18/04/2011,46.07
19/04/2011,45.81
20/04/2011,46.33
21/04/2011,48.64
22/04/2011,50.96
25/04/2011,53.02
26/04/2011,55.59
27/04/2011,58.17
28/04/2011,60.74
29/04/2011,63.31
4/5/2011,66.4
5/5/2011,63.31
6/5/2011,60.22
9/5/2011,60.74
10/5/2011,63.31
11/5/2011,65.37
12/5/2011,65.37
13/05/2011,62.28
16/05/2011,60.22
17/05/2011,57.65
18/05/2011,55.08
19/05/2011,52.5
20/05/2011,49.93
23/05/2011,47.61
24/05/2011,45.3
25/05/2011,43.24
26/05/2011,45.3
27/05/2011,47.36
30/05/2011,49.67
31/05/2011,51.99
1/6/2011,54.56
2/6/2011,57.14
3/6/2011,54.56
6/6/2011,51.99
7/6/2011,52.5
8/6/2011,50.19
9/6/2011,52.5
10/6/2011,51.47
13/06/2011,49.93
14/06/2011,48.9
15/06/2011,50.19
16/06/2011,51.22
17/06/2011,48.9
20/06/2011,49.67
21/06/2011,50.19
22/06/2011,50.19
23/06/2011,49.67
24/06/2011,49.67
27/06/2011,49.16
28/06/2011,49.67
29/06/2011,50.19
30/06/2011,49.93
1/7/2011,49.41
4/7/2011,49.41
