date,price
06/12/2016,115.09
07/12/2016,123.11
08/12/2016,131.65
09/12/2016,140.81
12/12/2016,150.66
13/12/2016,161.12
14/12/2016,172.37
15/12/2016,184.4
16/12/2016,196.17
19/12/2016,184.84
20/12/2016,171.93
21/12/2016,175.07
22/12/2016,176.99
23/12/2016,174.37
26/12/2016,174.37
27/12/2016,175.26
28/12/2016,176.06
29/12/2016,174.37
30/12/2016,174.99
03/01/2017,174.37
04/01/2017,174.37
05/01/2017,174.46
06/01/2017,182.34
09/01/2017,181.45
10/01/2017,181.01
11/01/2017,185.88
12/01/2017,186.41
13/01/2017,187.47
16/01/2017,185.0
17/01/2017,191.63
18/01/2017,198.1
19/01/2017,198.1
20/01/2017,198.1
23/01/2017,196.5
24/01/2017,196.5
25/01/2017,198.1
02/02/2017,193.85
03/02/2017,192.08
06/02/2017,190.31
07/02/2017,191.19
08/02/2017,190.57
09/02/2017,186.77
10/02/2017,188.71
13/02/2017,188.89
14/02/2017,191.19
15/02/2017,189.33
16/02/2017,190.66
17/02/2017,190.04
20/02/2017,192.96
21/02/2017,194.38
22/02/2017,198.54
23/02/2017,200.93
24/02/2017,200.93
27/02/2017,199.25
28/02/2017,199.25
01/03/2017,199.95
02/03/2017,199.07
03/03/2017,199.51
06/03/2017,198.72
07/03/2017,197.03
08/03/2017,193.76
09/03/2017,191.19
10/03/2017,186.77
13/03/2017,183.23
14/03/2017,189.42
15/03/2017,187.3
16/03/2017,188.45
17/03/2017,184.11
20/03/2017,185.0
21/03/2017,181.63
22/03/2017,179.68
23/03/2017,178.8
24/03/2017,177.03
27/03/2017,177.03
28/03/2017,176.14
29/03/2017,177.03
30/03/2017,178.8
31/03/2017,177.03
03/04/2017,177.38
04/04/2017,177.38
05/04/2017,179.68
07/04/2017,181.45
10/04/2017,185.0
11/04/2017,183.67
12/04/2017,179.68
13/04/2017,181.45
14/04/2017,180.57
17/04/2017,183.23
18/04/2017,181.45
19/04/2017,178.36
20/04/2017,177.03
21/04/2017,177.91
24/04/2017,177.03
25/04/2017,176.14
26/04/2017,177.47
27/04/2017,176.94
28/04/2017,176.94
03/05/2017,176.94
04/05/2017,176.14
05/05/2017,176.41
08/05/2017,176.14
09/05/2017,174.11
10/05/2017,174.2
11/05/2017,173.4
12/05/2017,173.93
15/05/2017,171.72
16/05/2017,169.15
17/05/2017,167.03
18/05/2017,168.09
19/05/2017,168.18
22/05/2017,168.53
23/05/2017,171.72
24/05/2017,169.06
25/05/2017,169.06
26/05/2017,167.74
29/05/2017,168.18
30/05/2017,169.06
31/05/2017,167.38
01/06/2017,168.18
02/06/2017,169.06
05/06/2017,169.06
06/06/2017,169.33
07/06/2017,169.86
08/06/2017,169.06
09/06/2017,169.06
12/06/2017,171.63
13/06/2017,172.51
14/06/2017,177.03
15/06/2017,177.03
16/06/2017,177.29
19/06/2017,177.91
20/06/2017,179.68
21/06/2017,181.37
22/06/2017,181.45
23/06/2017,183.14
26/06/2017,183.58
27/06/2017,183.58
28/06/2017,183.05
29/06/2017,182.78
30/06/2017,184.38
03/07/2017,185.88
04/07/2017,186.68
05/07/2017,185.88
06/07/2017,185.88
07/07/2017,185.88
10/07/2017,185.88
11/07/2017,186.32
12/07/2017,186.06
13/07/2017,186.32
14/07/2017,187.21
17/07/2017,194.29
18/07/2017,200.04
19/07/2017,205.44
20/07/2017,207.12
21/07/2017,208.45
24/07/2017,208.45
25/07/2017,208.45
26/07/2017,208.19
27/07/2017,208.19
28/07/2017,208.45
31/07/2017,209.69
01/08/2017,216.77
02/08/2017,217.21
03/08/2017,216.86
04/08/2017,217.57
07/08/2017,220.49
08/08/2017,223.94
09/08/2017,214.21
10/08/2017,220.4
11/08/2017,219.52
14/08/2017,215.98
15/08/2017,215.0
16/08/2017,220.31
17/08/2017,223.94
18/08/2017,223.94
21/08/2017,227.48
22/08/2017,217.92
23/08/2017,225.45
24/08/2017,225.45
25/08/2017,223.94
28/08/2017,223.5
29/08/2017,220.4
30/08/2017,221.29
31/08/2017,222.17
01/09/2017,225.27
05/09/2017,225.71
06/09/2017,232.79
07/09/2017,240.05
08/09/2017,249.35
11/09/2017,252.27
12/09/2017,248.73
13/09/2017,245.45
14/09/2017,241.2
15/09/2017,240.76
18/09/2017,244.74
19/09/2017,243.42
20/09/2017,241.64
21/09/2017,234.56
22/09/2017,235.63
25/09/2017,231.47
26/09/2017,228.37
27/09/2017,225.71
28/09/2017,235.54
29/09/2017,230.14
02/10/2017,228.37
03/10/2017,227.31
04/10/2017,230.49
05/10/2017,230.14
06/10/2017,230.23
09/10/2017,230.23
10/10/2017,230.23
11/10/2017,231.73
12/10/2017,235.45
13/10/2017,240.76
16/10/2017,240.76
17/10/2017,246.96
18/10/2017,249.17
19/10/2017,246.07
20/10/2017,238.99
23/10/2017,247.84
24/10/2017,248.28
25/10/2017,247.31
26/10/2017,249.61
27/10/2017,248.28
30/10/2017,254.04
31/10/2017,252.8
01/11/2017,253.95
02/11/2017,255.81
03/11/2017,256.69
06/11/2017,256.69
07/11/2017,252.36
08/11/2017,249.17
09/11/2017,246.16
10/11/2017,244.74
13/11/2017,244.48
14/11/2017,242.71
15/11/2017,239.79
16/11/2017,247.84
17/11/2017,247.84
20/11/2017,248.37
21/11/2017,259.35
22/11/2017,272.98
23/11/2017,273.51
24/11/2017,282.18
27/11/2017,268.2
28/11/2017,283.25
29/11/2017,300.06
30/11/2017,291.21
01/12/2017,292.1
04/12/2017,294.13
05/12/2017,292.1
06/12/2017,290.33
07/12/2017,282.72
08/12/2017,273.51
11/12/2017,259.35
12/12/2017,277.05
13/12/2017,277.94
14/12/2017,273.51
15/12/2017,273.69
18/12/2017,273.69
19/12/2017,254.57
20/12/2017,236.78
21/12/2017,220.58
22/12/2017,222.17
25/12/2017,234.21
26/12/2017,227.48
27/12/2017,223.23
28/12/2017,220.58
29/12/2017,220.67
02/01/2018,223.32
03/01/2018,234.56
04/01/2018,236.78
05/01/2018,233.94
08/01/2018,231.02
09/01/2018,231.02
10/01/2018,229.7
11/01/2018,231.02
12/01/2018,230.76
15/01/2018,233.71
16/01/2018,232.37
17/01/2018,231.47
18/01/2018,231.29
19/01/2018,229.23
22/01/2018,234.16
25/01/2018,231.47
26/01/2018,226.18
29/01/2018,219.81
30/01/2018,220.7
31/01/2018,221.6
01/02/2018,219.81
02/02/2018,221.6
05/02/2018,214.33
06/02/2018,208.77
07/02/2018,208.86
08/02/2018,201.86
09/02/2018,201.86
12/02/2018,209.04
13/02/2018,209.85
21/02/2018,216.22
22/02/2018,213.35
23/02/2018,215.32
26/02/2018,217.74
27/02/2018,216.67
28/02/2018,211.01
01/03/2018,208.14
02/03/2018,204.55
05/03/2018,202.76
06/03/2018,197.83
07/03/2018,198.27
08/03/2018,197.47
09/03/2018,197.74
12/03/2018,197.56
13/03/2018,194.69
14/03/2018,192.53
15/03/2018,191.99
16/03/2018,205.0
19/03/2018,201.86
20/03/2018,202.76
21/03/2018,202.76
22/03/2018,207.25
23/03/2018,211.19
26/03/2018,219.09
27/03/2018,218.91
28/03/2018,214.51
29/03/2018,214.51
30/03/2018,215.86
02/04/2018,213.53
03/04/2018,205.45
04/04/2018,202.76
05/04/2018,203.84
06/04/2018,203.84
09/04/2018,201.86
10/04/2018,206.35
11/04/2018,206.35
12/04/2018,206.35
13/04/2018,204.37
16/04/2018,205.9
17/04/2018,205.45
18/04/2018,204.55
19/04/2018,190.38
20/04/2018,199.17
23/04/2018,195.13
24/04/2018,194.69
26/04/2018,196.48
27/04/2018,191.1
02/05/2018,191.19
03/05/2018,194.95
04/05/2018,196.48
07/05/2018,210.21
08/05/2018,210.74
09/05/2018,209.94
10/05/2018,209.94
11/05/2018,211.73
14/05/2018,220.7
15/05/2018,224.29
16/05/2018,226.09
17/05/2018,216.67
18/05/2018,226.45
21/05/2018,225.19
22/05/2018,222.41
23/05/2018,218.01
24/05/2018,217.83
25/05/2018,209.94
28/05/2018,208.14
29/05/2018,205.45
30/05/2018,205.45
31/05/2018,215.32
01/06/2018,219.81
04/06/2018,216.76
05/06/2018,222.14
06/06/2018,221.6
07/06/2018,222.5
08/06/2018,219.81
11/06/2018,218.01
12/06/2018,214.42
13/06/2018,210.92
14/06/2018,209.13
15/06/2018,210.48
18/06/2018,208.14
19/06/2018,201.86
20/06/2018,204.46
21/06/2018,202.76
22/06/2018,202.76
25/06/2018,202.13
26/06/2018,199.8
27/06/2018,199.8
28/06/2018,196.84
29/06/2018,202.31
02/07/2018,206.35
03/07/2018,204.64
04/07/2018,202.76
05/07/2018,197.38
06/07/2018,197.38
09/07/2018,198.0
