date,price
19/01/2006,2.49
20/01/2006,2.54
23/01/2006,2.47
24/01/2006,2.45
25/01/2006,2.49
26/01/2006,2.52
27/01/2006,2.49
06/02/2006,2.49
07/02/2006,2.54
08/02/2006,2.59
09/02/2006,2.59
10/02/2006,2.59
13/02/2006,2.59
14/02/2006,2.59
15/02/2006,2.56
16/02/2006,2.59
17/02/2006,2.7
20/02/2006,2.82
21/02/2006,2.96
22/02/2006,2.96
23/02/2006,3.01
24/02/2006,3.03
27/02/2006,3.08
28/02/2006,3.22
01/03/2006,3.34
02/03/2006,3.39
03/03/2006,3.22
06/03/2006,3.29
07/03/2006,3.29
08/03/2006,3.2
09/03/2006,3.22
10/03/2006,3.22
13/03/2006,3.29
14/03/2006,3.34
15/03/2006,3.25
16/03/2006,3.29
17/03/2006,3.34
20/03/2006,3.39
21/03/2006,3.46
22/03/2006,3.46
23/03/2006,3.5
24/03/2006,3.48
27/03/2006,3.5
28/03/2006,3.5
29/03/2006,3.6
30/03/2006,3.76
31/03/2006,3.81
03/04/2006,4.0
04/04/2006,3.81
05/04/2006,4.0
06/04/2006,4.09
07/04/2006,4.23
10/04/2006,4.19
11/04/2006,4.07
12/04/2006,4.19
13/04/2006,4.28
14/04/2006,4.23
17/04/2006,4.23
18/04/2006,4.28
19/04/2006,4.28
20/04/2006,4.28
21/04/2006,4.49
24/04/2006,4.7
25/04/2006,4.8
26/04/2006,4.61
27/04/2006,4.4
28/04/2006,4.4
03/05/2006,4.56
04/05/2006,4.47
05/05/2006,4.37
08/05/2006,4.23
09/05/2006,4.02
10/05/2006,3.83
11/05/2006,4.02
12/05/2006,4.21
15/05/2006,4.4
16/05/2006,4.19
17/05/2006,4.26
18/05/2006,4.21
19/05/2006,4.19
22/05/2006,4.14
23/05/2006,4.05
24/05/2006,4.23
25/05/2006,4.09
26/05/2006,4.14
29/05/2006,4.09
30/05/2006,4.05
31/05/2006,4.19
01/06/2006,4.14
02/06/2006,4.14
